Customer Code,Customer Name,Country Name,Employee ,Customer Type
C0253,"SEIN SHIPPING CO.,LTD","KOREA, REPUBLIC OF",Unassigned,Potential
C0251,"SEONGHO SHIPPING CO.,LTD","KOREA, REPUBLIC OF",HYUKMIN,Potential
C0756,SERANA BUSINESS INC,GEORGIA,Unassigned,Potential
C0751,SERGIO LTD,TURKEY,MAAZ AHMED,Potential
C0718,SERROMAH SHIPPING B.V,NETHERLANDS,Unassigned,Potential
C0630,SETAF-SAGET SASU,FRANCE,Unassigned,Potential
C1638,Setramar S.p.A.,ITALY,Unassigned,Potential
C0296,SEVEN ISLANDS SHIPPING LIMITED,INDIA,VAISHNAV,Potential
C0640,SFL ACE 2 CO LTD,"KOREA, REPUBLIC OF",Unassigned,Potential
V0639,SGS GULF LIMITED,UNITED ARAB EMIRATES,Unassigned,Potential
C0728,SHANDONG SHIPPING CORP,CHINA,Unassigned,Potential
C1082,Sharaf Shipping Agencies LLC,UNITED ARAB EMIRATES,Unassigned,Potential
C1962,Sharaf Shipping Agency LLC,UNITED ARAB EMIRATES,Unassigned,Potential
C1291,SHAT AL ARAB SHIPPING COMPANY LLC,UNITED ARAB EMIRATES,Unassigned,Potential
C2167,Shat-al-Arab Shipping,UNITED ARAB EMIRATES,Unassigned,Potential
C1083,Shelf Drilling,UNITED ARAB EMIRATES,Unassigned,Potential
C2086,SHELL,,SATNAM,Potential
C1084,Shell Markets (Middle East) Limited,UNITED ARAB EMIRATES,Unassigned,Potential
V0343,"SHENG JAN CO., LTD",,Unassigned,Potential
V0344,"Sheng Jan Co., Ltd",,Unassigned,Potential
C0731,SHIH WEI NAVIGATION COMPANY LIMITED,TAIWAN,KAREN,Potential
C0479,SHIP SERVICE,,SATNAM,Potential
C0242,"SHIPPING BANK CO.,LTD","KOREA, REPUBLIC OF",Unassigned,Potential
C0263,"SHIPPING IMPERIAL CO.,LTD","KOREA, REPUBLIC OF",Unassigned,Potential
C1085,"Shipping, Trading & Lighterage Co.  L.L.C.",UNITED ARAB EMIRATES,Unassigned,Potential
C2655,Shore Oil FZC,,Unassigned,Potential
C0623,SHOREWAY BULKCARRIER INC,GEORGIA,Unassigned,Potential
C2364,SHV Gas Supply & Risk Management,SINGAPORE,KAREN,Potential
SIAM,SIAM,,Unassigned,Potential
SIAM LUCKY,SIAM LUCKY,,Unassigned,Potential
C1433,Sibelco Shipping,NORWAY,Unassigned,Potential
C2450,SIBTRADE,,Unassigned,Potential
C1499,SIBUR International,RUSSIAN FEDERATION,Unassigned,Potential
C1086,Sicil Marine Ship Management & Operation,UNITED ARAB EMIRATES,Unassigned,Potential
C1198,SILK ROAD PETROLEUM,UNITED ARAB EMIRATES,Unassigned,Potential
C1250,SILVER STAR SHIP MANAGEMENT FZE/BLUE LAGOON SHIPPING FZE,UNITED ARAB EMIRATES,MAAZ AHMED,Potential
C1088,Silversea Cruises Ltd,UNITED ARAB EMIRATES,Unassigned,Potential
C1089,Sima General Trading FZC,UNITED ARAB EMIRATES,Unassigned,Potential
C1848,Simatech Shipping & Forwarding L.L.C.,UNITED ARAB EMIRATES,KUROSH,Potential
C1197,SIMATECH SHIPPING & FORWARDING LLC,UNITED ARAB EMIRATES,Unassigned,Potential
C0592,SIMATECH SHIPPING LLC,,Unassigned,Potential
C1790,Sime Darby Eng Sdn Bhd,UNITED ARAB EMIRATES,Unassigned,Potential
V0655,Simec Group,,Unassigned,Potential
C1211,SINBAD NAVIGATION,UNITED ARAB EMIRATES,Unassigned,Potential
C0593,SINCERE INDUSTRIAL CORP,,Unassigned,Potential
C2704,SINGAMAS,,Unassigned,Potential
C0171,SINGMALLOYD MARINE (S) PTE LTD,,Unassigned,Potential
C2597,SINO BUNKER,,Unassigned,Potential
C2371,Sinoda,,Unassigned,Potential
C0684,SINOKOR MERCHANT MARINE COMPANY LIMITED,"KOREA, REPUBLIC OF",HYUKMIN,Potential
